timestamp,function,elapsed_time(ms)
270909543,Tracking_GrabImageMonocular_Frame,16.351563
270909543,Tracking_Track_PreintegrateIMU,0.062500
270909560,Tracking_GrabImageMonocular_Track,17.063542
270909560,System_TrackMonocular_GrabImageMonocular,33.738021
270909560,System_TrackMonocular,34.708334
270909566,ORBextractor_ExtractORB_ComputePyramid,0.835938
270909574,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.809375
270909580,ORBextractor_ExtractORB_computeDescriptors,6.290104
270909580,Frame_Frame_ExtractORB,15.061458
270909581,Tracking_GrabImageMonocular_Frame,15.594791
270909581,Tracking_Track_PreintegrateIMU,0.058333
270909598,Tracking_GrabImageMonocular_Track,16.845313
270909598,System_TrackMonocular_GrabImageMonocular,32.906771
270909598,System_TrackMonocular,33.832291
270909604,ORBextractor_ExtractORB_ComputePyramid,0.880729
270909612,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.902604
270909618,ORBextractor_ExtractORB_computeDescriptors,6.119792
270909618,Frame_Frame_ExtractORB,15.031771
270909619,Tracking_GrabImageMonocular_Frame,15.562500
270909619,Tracking_Track_PreintegrateIMU,0.059896
270909635,Tracking_GrabImageMonocular_Track,16.824479
270909636,System_TrackMonocular_GrabImageMonocular,32.705208
270909636,System_TrackMonocular,33.913541
270909643,ORBextractor_ExtractORB_ComputePyramid,0.903646
270909651,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.422917
270909657,ORBextractor_ExtractORB_computeDescriptors,6.184896
270909657,Frame_Frame_ExtractORB,14.630208
270909658,Tracking_GrabImageMonocular_Frame,15.230729
270909658,Tracking_Track_PreintegrateIMU,0.111979
270909674,Tracking_GrabImageMonocular_Track,16.930729
270909675,System_TrackMonocular_GrabImageMonocular,32.396354
270909675,System_TrackMonocular,33.411458
270909680,ORBextractor_ExtractORB_ComputePyramid,0.838542
270909688,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.453646
270909694,ORBextractor_ExtractORB_computeDescriptors,6.417708
270909694,Frame_Frame_ExtractORB,14.844271
270909695,Tracking_GrabImageMonocular_Frame,15.367188
270909695,Tracking_Track_PreintegrateIMU,0.059375
270909711,Tracking_GrabImageMonocular_Track,16.107812
270909711,System_TrackMonocular_GrabImageMonocular,31.753646
270909711,System_TrackMonocular,32.656771
270909717,ORBextractor_ExtractORB_ComputePyramid,0.830729
270909725,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.599479
270909731,ORBextractor_ExtractORB_computeDescriptors,6.186458
270909731,Frame_Frame_ExtractORB,14.730729
270909732,Tracking_GrabImageMonocular_Frame,15.267187
270909732,Tracking_Track_PreintegrateIMU,0.056771
270909750,Tracking_GrabImageMonocular_Track,17.894271
270909750,System_TrackMonocular_GrabImageMonocular,33.640625
270909750,System_TrackMonocular,34.577083
270909756,ORBextractor_ExtractORB_ComputePyramid,0.868229
270909763,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.331770
270909770,ORBextractor_ExtractORB_computeDescriptors,6.250521
270909770,Frame_Frame_ExtractORB,14.582813
270909770,Tracking_GrabImageMonocular_Frame,15.216667
270909770,Tracking_Track_PreintegrateIMU,0.072395
270909788,Tracking_GrabImageMonocular_Track,17.351562
270909788,System_TrackMonocular_GrabImageMonocular,32.867709
270909788,System_TrackMonocular,33.876563
270909796,ORBextractor_ExtractORB_ComputePyramid,0.875000
270909804,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,8.085937
270909811,ORBextractor_ExtractORB_computeDescriptors,6.917187
270909811,Frame_Frame_ExtractORB,16.064583
270909812,Tracking_GrabImageMonocular_Frame,16.626563
270909812,Tracking_Track_PreintegrateIMU,0.055729
270909829,Tracking_GrabImageMonocular_Track,17.088541
270909829,System_TrackMonocular_GrabImageMonocular,33.969791
270909829,System_TrackMonocular,35.595834
270909836,ORBextractor_ExtractORB_ComputePyramid,1.133854
270909844,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.793229
270909850,ORBextractor_ExtractORB_computeDescriptors,6.366667
270909850,Frame_Frame_ExtractORB,15.522396
270909851,Tracking_GrabImageMonocular_Frame,16.107812
270909851,Tracking_Track_PreintegrateIMU,0.063021
270909869,Tracking_GrabImageMonocular_Track,17.520312
270909869,System_TrackMonocular_GrabImageMonocular,33.981770
270909869,System_TrackMonocular,35.269792
270909876,ORBextractor_ExtractORB_ComputePyramid,0.913542
270909884,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.618750
270909890,ORBextractor_ExtractORB_computeDescriptors,6.186980
270909890,Frame_Frame_ExtractORB,14.854687
270909891,Tracking_GrabImageMonocular_Frame,15.389584
270909891,Tracking_Track_PreintegrateIMU,0.059375
270909909,Tracking_GrabImageMonocular_Track,18.557291
270909909,System_TrackMonocular_GrabImageMonocular,34.457291
270909909,System_TrackMonocular,36.383854
270909917,ORBextractor_ExtractORB_ComputePyramid,0.886459
270909925,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.373958
270909931,ORBextractor_ExtractORB_computeDescriptors,6.478646
270909931,Frame_Frame_ExtractORB,14.890104
270909932,Tracking_GrabImageMonocular_Frame,15.503125
270909932,Tracking_Track_PreintegrateIMU,0.106250
270909949,Tracking_GrabImageMonocular_Track,16.657812
270909949,System_TrackMonocular_GrabImageMonocular,32.460937
270909949,System_TrackMonocular,34.898958
270909956,ORBextractor_ExtractORB_ComputePyramid,0.876042
270909963,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.153125
270909970,ORBextractor_ExtractORB_computeDescriptors,6.657812
270909970,Frame_Frame_ExtractORB,14.833333
270909971,Tracking_GrabImageMonocular_Frame,15.371354
270909971,Tracking_Track_PreintegrateIMU,0.063021
270909988,Tracking_GrabImageMonocular_Track,17.025000
270909988,System_TrackMonocular_GrabImageMonocular,32.649480
270909988,System_TrackMonocular,33.667709
270909995,ORBextractor_ExtractORB_ComputePyramid,0.917708
270910002,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.696354
270910010,ORBextractor_ExtractORB_computeDescriptors,7.203125
270910010,Frame_Frame_ExtractORB,15.965625
270910010,Tracking_GrabImageMonocular_Frame,16.510417
270910010,Tracking_Track_PreintegrateIMU,0.063542
270910027,Tracking_GrabImageMonocular_Track,16.417187
270910027,System_TrackMonocular_GrabImageMonocular,33.231250
270910027,System_TrackMonocular,34.244271
270910034,ORBextractor_ExtractORB_ComputePyramid,0.840625
270910041,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.143750
270910050,ORBextractor_ExtractORB_computeDescriptors,9.040625
270910050,Frame_Frame_ExtractORB,17.156771
270910051,Tracking_GrabImageMonocular_Frame,17.698438
270910051,Tracking_Track_PreintegrateIMU,0.060417
270910067,Tracking_GrabImageMonocular_Track,16.380209
270910067,System_TrackMonocular_GrabImageMonocular,34.575000
270910067,System_TrackMonocular,35.798959
270910074,ORBextractor_ExtractORB_ComputePyramid,0.851042
270910081,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.517709
270910087,ORBextractor_ExtractORB_computeDescriptors,6.246354
270910087,Frame_Frame_ExtractORB,14.749480
270910088,Tracking_GrabImageMonocular_Frame,15.296354
270910088,Tracking_Track_PreintegrateIMU,0.059895
270910104,Tracking_GrabImageMonocular_Track,15.805208
270910104,System_TrackMonocular_GrabImageMonocular,31.360417
270910104,System_TrackMonocular,32.397917
270910113,ORBextractor_ExtractORB_ComputePyramid,1.060417
270910120,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.300521
270910127,ORBextractor_ExtractORB_computeDescriptors,7.025521
270910128,Frame_Frame_ExtractORB,15.542708
270910128,Tracking_GrabImageMonocular_Frame,16.097396
270910128,Tracking_Track_PreintegrateIMU,0.058855
270910145,Tracking_GrabImageMonocular_Track,17.388021
270910146,System_TrackMonocular_GrabImageMonocular,33.883333
270910146,System_TrackMonocular,36.066666
270910152,ORBextractor_ExtractORB_ComputePyramid,0.907291
270910159,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.399479
270910166,ORBextractor_ExtractORB_computeDescriptors,6.654688
270910166,Frame_Frame_ExtractORB,15.135938
270910167,Tracking_GrabImageMonocular_Frame,15.672396
270910167,Tracking_Track_PreintegrateIMU,0.108854
270910167,Tracking_GrabImageMonocular_Track,0.351041
270910167,System_TrackMonocular_GrabImageMonocular,16.282291
270910167,System_TrackMonocular,17.275000
270910183,ORBextractor_ExtractORB_ComputePyramid,1.007292
270910191,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,8.059896
270910198,ORBextractor_ExtractORB_computeDescriptors,7.210417
270910198,Frame_Frame_ExtractORB,16.437500
270910199,Tracking_GrabImageMonocular_Frame,17.036459
270910199,Tracking_Track_PreintegrateIMU,0.066667
270910199,Tracking_GrabImageMonocular_Track,0.807813
270910199,System_TrackMonocular_GrabImageMonocular,18.342188
270910199,System_TrackMonocular,19.373437
270910218,ORBextractor_ExtractORB_ComputePyramid,0.981771
270910226,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,8.096875
270910233,ORBextractor_ExtractORB_computeDescriptors,7.083333
270910233,Frame_Frame_ExtractORB,16.321875
270910234,Tracking_GrabImageMonocular_Frame,16.921354
270910234,Tracking_Track_PreintegrateIMU,0.072396
270910254,Tracking_GrabImageMonocular_Track,20.621875
270910255,System_TrackMonocular_GrabImageMonocular,37.848959
270910255,System_TrackMonocular,39.368229
270910264,ORBextractor_ExtractORB_ComputePyramid,1.036979
270910272,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,8.421875
270910279,ORBextractor_ExtractORB_computeDescriptors,7.211979
270910280,Frame_Frame_ExtractORB,16.907292
270910280,Tracking_GrabImageMonocular_Frame,17.695313
270910280,Tracking_Track_PreintegrateIMU,0.073438
270910301,Tracking_GrabImageMonocular_Track,20.379166
270910301,System_TrackMonocular_GrabImageMonocular,38.373958
270910301,System_TrackMonocular,39.584896
270910308,ORBextractor_ExtractORB_ComputePyramid,0.960417
270910316,ORBextractor_ExtractORB_ComputeKeyPointsOctTree,7.841146
